,Rank,Bank name,Market cap(US$ billion),MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,1,JPMorgan Chase,43.292,40.26156,34.6336,3591.0714000000003
1,2,Bank of America,23.152,21.531360000000003,18.521600000000003,1920.4584000000002
2,3,Industrial and Commercial Bank of China,19.456000000000003,18.094080000000005,15.564800000000004,1613.8752000000004
3,4,Agricultural Bank of China,16.068,14.943240000000003,12.854400000000002,1332.8406000000002
4,5,HDFC Bank,15.791,14.685630000000002,12.632800000000001,1309.86345
5,6,Wells Fargo,15.587000000000002,14.495910000000002,12.469600000000002,1292.9416500000002
6,7,HSBC Holdings PLC,14.89,13.847700000000001,11.912,1235.1255
7,8,Morgan Stanley,14.083000000000002,13.097190000000003,11.266400000000003,1168.18485
8,9,China Construction Bank,13.982,13.003260000000001,11.1856,1159.8069
9,10,Bank of China,13.681000000000001,12.72333,10.9448,1134.83895
